id,date,transaction_type,category,amount
2,2026-09-14,수입,알바,500
3,2026-09-15,수입,음식,260000
4,2026-09-15,수입,음식,520000
5,2026-09-15,지출,30000,1010000
6,2026-09-15,수입,음식,1040000
7,2026-09-15,지출,기부,1055000
8,2026-09-15,수입,알바,10000
9,2026-09-15,지출,ᅇ음식,10000
9,2026-09-15,수입,장학금,1000000
10,2026-09-15,지출,김밥,4000
11,2026-09-15,수입,장학금,100000
12,2026-09-15,지출,음식,12000
13,2026-09-15,지출,음식,50000
14,2026-09-15,수입,장려금,50000
15,2026-09-15,지출,음식,5000
16,2026-09-15,수입,과외,10000
17,2026-09-15,수입,용돈,70000
18,2026-09-15,수입,식비,20000
19,2026-09-15,수입,식비,500
21,2026-09-15,수입,교통,10000
22,2026-09-15,지출,식비,100000
23,2026-09-21,수입,식비,20000
